name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	processedAlignment	good	lawful	processedRace	alias	processedSpells	processedWeapons	levelGroup
927e3a	Forest Gnome	Sage	2018-11-17T21:48:26Z	Wizard 20	Wizard	School of Necromancy	20		154	14	8	18	19	20	18	8		Arcana|History|Religion|Medicine	Dagger	Animate Dead*3	11 17 18		NA	NA	Gnome	frosty_gould	Animate Dead*3	Dagger	19-20
aceb99	Undead	Overlord	2018-12-09T21:38:49Z	Wizard 20	Wizard	School of Necromancy	20		92	18	9	14	15	21	21	0		Athletics|Arcana|Investigation|Perception|Survival	Cajado Classe Mundial++	Animate Dead*3	12 09 18		NA	NA		naughty_borg	Animate Dead*3		19-20
22bf79	Deep Gnome	Acolyte	2018-07-24T22:37:38Z	Warlock 20	Warlock	The Celestial	20		260	15	18	18	20	22	24	20		Sleight of Hand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion	Dagger|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection From Good and Evil*1|Mage Armor - No Slot Needed*1|Disguise Self - No Slot Needed*1|Flaming Sphere*2|Lessor Restoration*2|Invisibility*2|Misty Step*2|Levitate - No Slot Needed*2|Alter Self - No Slot Needed*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Dance Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9	07 24 18		NA	NA	Gnome	hardcore_robinson	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection from Evil and Good*1|Mage Armor*1|Disguise Self*1|Flaming Sphere*2|Lesser Restoration*2|Invisibility*2|Misty Step*2|Levitate*2|Alter Self*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Danse Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9	Dagger	19-20
b1bd6b	Human	Hermit	2018-08-01T01:25:29Z	Monk 20	Monk	Way of the Four Elements	20	Mobile|Observant	200	20	13	20	15	12	21	11		Acrobatics|History|Religion|Insight|Medicine	Dagger|Dart|Unarmed strike		07 31 18		NA	NA	Human	optimistic_kapitsa		Dagger|Dart|Unarmed Strike	19-20
031572	naga	Acolyte	2018-09-27T00:43:37Z	Mystic 20	Mystic	Order of the Immortal	20		163	15	19	17	14	20	8	8		Arcana|Religion|Insight|Perception	Mace|Crossbow, light		09 26 18		NA	NA		happy_albattani		Mace|Crossbow, Light	19-20
c42383	Mountain Dwarf	Mercenary Veteran	2019-01-12T01:34:19Z	Bard 20	Bard	College of Swords	20	Tough|Heavily Armored|Great Weapon Master|Mage Slayer|Mobile	243	20	29	14	20	12	10	16		Athletics|Acrobatics|Perception|Intimidation|Persuasion	Didgeridoo|Dagger	Vicious Mockery*0|Mending*0|Message*0|Dancing Lights*0|Healing Word*1|Bane*1|Feather Fall*1|Longstrider*1|Cure Wounds*1|Silence*2|See Invisibility*2|Hold Person*2|Heat Metal*2|Mirror Image*2|Tongues*3|Stinking Cloud*3|Dispel Magic*3|Haste*3|Blink*3|Dimension Door*4|Greater Invisiblity*4|Polymorph*4|Dominate Person*5|Grester Restoration*5|Mass Cure Wounds*5|Hold Monster*5|Tenser's Transformation*6|Mordenkainen's Sword*7|Dominate Monster*8|True Polymorph*9|Invulnerability*9	01 11 19		NA	NA	Dwarf	frosty_greider	Vicious Mockery*0|Mending*0|Message*0|Dancing Lights*0|Healing Word*1|Bane*1|Feather Fall*1|Longstrider*1|Cure Wounds*1|Silence*2|See Invisibility*2|Hold Person*2|Heat Metal*2|Mirror Image*2|Tongues*3|Stinking Cloud*3|Dispel Magic*3|Haste*3|Blink*3|Dimension Door*4|Greater Invisibility*4|Polymorph*4|Dominate Person*5|Greater Restoration*5|Mass Cure Wounds*5|Hold Monster*5|Tenser’s Transformation*6|Mordenkainen’s Sword*7|Dominate Monster*8|True Polymorph*9|Invulnerability*9	Dagger	19-20
16ea32	Half-Orc	Hermit	2018-12-09T21:41:09Z	Barbarian 20	Barbarian	Path of the Berserker	20	Resilient	285	19	24	14	24	10	12	8		Athletics|Religion|Medicine|Perception|Intimidation	Greataxe|Handaxe|Javelin		12 09 18		NA	NA	Half-Orc	practical_banzai		Greataxe|Handaxe|Javelin	19-20
e9a755	Wood Elf	Guild Artisan	2018-07-09T17:23:10Z	Wizard 20	Wizard	School of Conjuration	20	Spell Sniper|Elven Accuracy|Elemental Adept|War Caster|Lucky	122	13	10	16	14	20	14	12		Arcana|Insight|Medicine|Perception|Persuasion	Quarterstaff	Blade Ward*0|Firebolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify (Free)*1|Find Familiar*1|Catapault*1|Ray Of Sickness*1|Disguise Self*1|Misty Step (Free)*2|Mirror Image*2|Scorching Ray*2|Nystul's Magic Aura*2|Mind Spike*2|Counterspell (Signature)*3|Fireball (Signature)*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen's Faithful Hound*4|Steel Wind Strike*5|Bigby's Hand*5|Contingency*6|Tenser's Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Shield*8|Clone (Has A Clone) *8|Wish*9|Invulnerability*9	07 09 18		NA	NA	Elf	adoring_solomon	Blade Ward*0|Fire Bolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify*1|Find Familiar*1|Catapult*1|Ray of Sickness*1|Disguise Self*1|Misty Step*2|Mirror Image*2|Scorching Ray*2|Nystul’s Magic Aura*2|Mind Spike*2|Counterspell*3|Fireball*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen’s Faithful Hound*4|Steel Wind Strike*5|Bigby’s Hand*5|Contingency*6|Tenser’s Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Field*8|Wish*9|Invulnerability*9	Quarterstaff	19-20
60a252	Wood Elf	Hermit	2018-12-03T01:54:12Z	Druid 20	Druid	Circle of the Land	20	Elven Accuracy	143	15	10	14	14	18	20	10		Arcana|Religion|Animal Handling|Medicine|Perception		Invisibility*2|Pass without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5	12 02 18		NA	NA	Elf	tender_hypatia	Invisibility*2|Pass Without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5		19-20
11e790	Wood Elf	Hermit	2018-10-20T20:22:20Z	Druid 20	Druid	Circle of the Moon	20	War Caster|Sentinel|Alert	103	14	8	12	10	14	20	14		Arcana|Nature|Religion|Medicine|Perception	Scimitar		10 20 18		NA	NA	Elf	angry_jones		Scimitar	19-20
